"","PLAYERNAME","ESPNID","url"
"228","Christian Bethancourt",31758,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31758.png"
"229","Chad Bettis",31718,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31718.png"
"230","Mookie Betts",33039,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33039.png"
"231","Joe Biagini",34882,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/34882.png"
"232","Jeff Bianchi",31760,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31760.png"
"233","Austin Bibens-Dirkx",31344,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31344.png"
"234","Bo Bichette",38904,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/38904.png"
"235","Phil Bickford",NA,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/NA.png"
"236","Jesse Biddle",31762,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31762.png"
"237","Shane Bieber",40912,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/40912.png"
"238","Brandon Bielak",41260,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/41260.png"
"239","Cavan Biggio",37639,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/37639.png"
"240","Chad Billingsley",6476,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/6476.png"
"241","Greg Bird",32695,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32695.png"
"242","Braden Bishop",35033,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/35033.png"
"243","Brian Bixler",29089,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/29089.png"
"244","Ty Blach",33138,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33138.png"
"245","Charlie Blackmon",31084,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/31084.png"
"246","Clayton Blackburn",32172,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32172.png"
"247","Nick Blackburn",28889,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/28889.png"
"248","Paul Blackburn",32776,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/32776.png"
"249","Ray Black",33656,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/33656.png"
"250","Travis Blackley",6018,"https://a.espncdn.com/combiner/i?img=/i/headshots/mlb/players/full/6018.png"
